 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
37,2635,104.518,11.496,107,64,144,205.823,74.158,45.241,90.898,0.782,78.090,275404.000,105,-0.339,0.250,275404.000,54,51,114,80.417,45.765,1.639,0.610,0.962
38,2750,102.673,10.101,110,49,128,202.510,73.305,47.765,89.408,0.843,73.437,282350.000,104,-0.666,0.541,282350.000,58,53,195,83.746,47.000,1.535,0.652,0.971
39,2686,104.868,12.635,106,36,140,216.794,79.308,43.122,91.097,0.718,85.288,281676.000,106,-0.868,2.178,281676.000,59,57,138,94.708,45.000,1.839,0.544,0.934
40,2888,102.953,9.408,102,71,131,207.823,76.055,48.348,89.779,0.840,77.233,297328.000,104,-0.357,0.229,297328.000,61,57,191,85.544,48.000,1.573,0.636,0.972
41,2087,103.837,11.370,98,66,141,186.409,64.602,41.133,86.032,0.755,68.264,216707.000,103,0.047,0.009,216707.000,62,58,234,84.958,44.588,1.571,0.637,0.936
42,2352,103.183,11.218,108,66,144,217.581,89.361,33.512,91.849,0.624,85.212,242687.000,105,-0.601,0.330,242687.000,65,59,127,85.962,34.426,2.667,0.375,0.907
43,1578,100.700,10.698,105,55,139,152.368,54.065,37.162,90.458,0.854,53.935,158905.000,103,-0.735,0.831,158905.000,69,54,180,100.685,37.000,1.455,0.687,0.967
44,1597,101.905,10.285,106,65,135,153.196,53.949,37.691,89.606,0.855,54.083,162743.000,103,-0.654,0.565,162743.000,70,55,17,93.180,37.000,1.431,0.699,0.965
45,3019,103.099,11.376,104,46,134,219.480,80.424,47.796,90.430,0.788,83.295,311255.000,105,-1.143,2.484,311255.000,71,61,131,94.821,48.000,1.683,0.594,0.965
46,2148,102.611,10.520,106,65,132,176.024,58.412,46.821,89.495,0.871,58.523,220408.000,104,-0.338,-0.019,220408.000,73,49,206,70.017,46.000,1.248,0.802,0.968
47,2106,103.627,9.124,104,74,127,189.823,70.393,38.092,89.046,0.734,75.107,218238.000,105,-0.441,-0.015,218238.000,74,58,69,93.053,40.000,1.848,0.541,0.954
48,2186,102.032,9.895,106,65,128,179.681,64.968,42.841,90.511,0.851,65.620,223042.000,104,-0.821,0.899,223042.000,76,60,244,82.117,43.000,1.517,0.659,0.969
49,2198,103.431,9.732,108,66,130,180.752,64.990,43.062,90.171,0.845,65.376,227341.000,105,-0.721,0.786,227341.000,77,56,81,83.853,43.908,1.509,0.663,0.966
50,2235,101.785,10.310,106,67,138,183.095,67.632,42.076,90.135,0.838,67.897,227489.000,103,-0.403,-0.027,227489.000,78,55,230,80.676,42.000,1.607,0.622,0.974
51,2610,104.579,9.303,107,73,134,198.752,73.736,45.068,90.951,0.830,73.980,272951.000,105,-0.391,0.266,272951.000,82,57,70,99.335,45.000,1.636,0.611,0.972
52,2457,103.344,11.025,108,58,135,200.995,71.844,43.544,92.318,0.764,73.756,253917.000,104,-0.085,-0.064,253917.000,83,56,130,102.529,46.000,1.650,0.606,0.949
53,1951,104.331,9.817,106,68,137,172.167,61.003,40.721,90.153,0.827,63.071,203550.000,106,-0.391,0.083,203550.000,85,59,32,92.726,41.000,1.498,0.668,0.963
54,2157,103.830,9.759,102,70,129,181.924,67.672,40.584,89.602,0.819,69.260,223961.000,105,-0.509,0.031,223961.000,87,61,93,94.970,41.000,1.667,0.600,0.964
55,2190,103.209,10.213,104,60,135,179.924,64.569,43.185,91.154,0.850,65.620,226028.000,104,-0.614,0.894,226028.000,88,58,101,97.883,44.000,1.495,0.669,0.968
56,1385,102.162,10.127,105,68,129,143.539,52.231,33.762,92.532,0.845,53.235,141494.000,103,-0.563,0.169,141494.000,89,60,77,95.389,34.000,1.547,0.646,0.961
57,2453,104.616,9.371,106,72,135,197.924,73.845,42.295,88.658,0.787,74.148,256624.000,105,-0.362,0.190,256624.000,93,51,91,79.902,42.000,1.746,0.573,0.969
